unit_group_code,unit_group_title,occupation_code,occupation_title
2239,Other Information and Organisation Professionals,223934,Patents Examiner
2239,Other Information and Organisation Professionals,223935,Records or Information Manager
2239,Other Information and Organisation Professionals,223999,Information and Organisation Professionals nec
2311,"Actors, Dancers and Other Entertainers",231131,Actor
2311,"Actors, Dancers and Other Entertainers",231132,Circus Performer or Trainer
2311,"Actors, Dancers and Other Entertainers",231133,Content Creator (Social Media)
2311,"Actors, Dancers and Other Entertainers",231134,Dancer or Choreographer
2311,"Actors, Dancers and Other Entertainers",231135,Entertainer or Variety Performer
2311,"Actors, Dancers and Other Entertainers",231199,"Actors, Dancers and Other Entertainers nec"
2312,"Authors, and Book and Script Editors",231231,Author
2312,"Authors, and Book and Script Editors",231232,Book or Script Editor
2313,Journalists and Other Writers,231331,Copywriter
2313,Journalists and Other Writers,231332,Journalist
2313,Journalists and Other Writers,231333,Print or Digital Content Editor
2313,Journalists and Other Writers,231334,Technical Writer
2313,Journalists and Other Writers,231399,Journalists and Other Writers nec
2314,Media Directors and Designers,231431,Artistic Director
2314,Media Directors and Designers,231432,Audio or Live Performance Director
2314,Media Directors and Designers,231433,Cinematographer
2314,Media Directors and Designers,231434,Film and Video Editor
2314,Media Directors and Designers,231435,Production Manager (Screen or Live Performance)
2314,Media Directors and Designers,231436,Screen Director
2314,Media Directors and Designers,231437,Screen or Live Performance Designer
2314,Media Directors and Designers,231438,Technical Director
2314,Media Directors and Designers,231499,Media Directors and Designers nec
2315,Media Producers,231531,Audio Producer
2315,Media Producers,231532,Live Performance Producer
2315,Media Producers,231533,Screen Producer
2316,Music Professionals,231631,Composer
2316,Music Professionals,231632,Music Director
2316,Music Professionals,231633,Musician (Instrumental)
2316,Music Professionals,231634,Singer
2316,Music Professionals,231699,Music Professionals nec
2317,Visual Arts and Crafts Professionals,231731,Painter (Visual Arts)
2317,Visual Arts and Crafts Professionals,231732,Potter or Ceramic Artist
2317,Visual Arts and Crafts Professionals,231733,Sculptor
2317,Visual Arts and Crafts Professionals,231799,Visual Arts and Crafts Professionals nec
2319,Other Arts and Media Professionals,231931,Community Arts Worker
2319,Other Arts and Media Professionals,231932,Media Presenter
2321,Librarians,232131,Librarian
2322,Religious Leaders,232231,Religious Leader
2323,Social Science and Related Professionals,232331,Archaeologist
2323,Social Science and Related Professionals,232332,Archivist
2323,Social Science and Related Professionals,232333,Economist
2323,Social Science and Related Professionals,232334,Gallery or Museum Curator
2323,Social Science and Related Professionals,232335,Heritage Consultant
2323,Social Science and Related Professionals,232336,Historian
2323,Social Science and Related Professionals,232399,Social Science and Related Professionals nec
2411,"Architects, Landscape Architects and Urban Designers",241131,Architect
2411,"Architects, Landscape Architects and Urban Designers",241132,Landscape Architect
2411,"Architects, Landscape Architects and Urban Designers",241133,Urban Designer
2412,Geospatial Information Professionals and Surveyors,241231,Cartographer
2412,Geospatial Information Professionals and Surveyors,241232,Engineering Surveyor
2412,Geospatial Information Professionals and Surveyors,241233,Geospatial Specialist
2412,Geospatial Information Professionals and Surveyors,241234,Land Surveyor
2412,Geospatial Information Professionals and Surveyors,241235,Mine Surveyor
2412,Geospatial Information Professionals and Surveyors,241299,Geospatial Information Professionals and Surveyors nec
2413,Urban and Regional Planners,241331,Urban and Regional Planner
2419,"Other Architects, Planners and Surveyors",241931,Building Surveyor
2419,"Other Architects, Planners and Surveyors",241932,Quantity Surveyor
2421,Digital Designers,242131,Multimedia Designer
2421,Digital Designers,242132,UI / UX Designer
2421,Digital Designers,242133,Web Designer
2422,"Fashion, Industrial, Jewellery and Textile Designers",242231,Fashion Designer
2422,"Fashion, Industrial, Jewellery and Textile Designers",242232,Industrial Designer
2422,"Fashion, Industrial, Jewellery and Textile Designers",242233,Jewellery Designer
2422,"Fashion, Industrial, Jewellery and Textile Designers",242234,Textile Designer
2423,Graphic and Visual Content Designers,242331,Animator or Visual Effects Artist
2423,Graphic and Visual Content Designers,242332,Graphic Designer
2423,Graphic and Visual Content Designers,242333,Illustrator
2424,Interior Designers,242431,Interior Designer
2431,Chemical and Materials Engineering Professionals,243131,Chemical Engineer
2431,Chemical and Materials Engineering Professionals,243132,Extractive Metallurgist
2431,Chemical and Materials Engineering Professionals,243133,Materials Engineer
2432,Civil Engineering Professionals,243231,Civil Engineer
2432,Civil Engineering Professionals,243232,Geotechnical Engineer
2432,Civil Engineering Professionals,243233,Rail Engineer
2432,Civil Engineering Professionals,243234,Structural Engineer
2432,Civil Engineering Professionals,243235,Transport Engineer
2432,Civil Engineering Professionals,243236,Water Engineer
2433,Electrical Engineering Professionals,243331,Electrical Engineer
2433,Electrical Engineering Professionals,243332,Rail Signalling Engineer
2434,Electronics Engineers,243431,Electronics Engineer
2435,"Industrial, Mechanical and Production Engineers",243531,Industrial Engineer
2435,"Industrial, Mechanical and Production Engineers",243532,Mechanical Engineer
2435,"Industrial, Mechanical and Production Engineers",243533,Production or Plant Engineer
2436,Mining Engineers,243631,Mining Engineer (excluding Petroleum)
2436,Mining Engineers,243632,Petroleum Engineer
2439,Other Engineering Professionals,243931,Acoustic Engineer
2439,Other Engineering Professionals,243932,Aerospace Engineer
2439,Other Engineering Professionals,243933,Biomedical Engineer
2439,Other Engineering Professionals,243934,Engineering Technologist
2439,Other Engineering Professionals,243935,Environmental Engineer
2439,Other Engineering Professionals,243936,Fire Safety Engineer
2439,Other Engineering Professionals,243937,Mechatronics Engineer
2439,Other Engineering Professionals,243938,Naval Architect
2439,Other Engineering Professionals,243999,Engineering Professionals nec
2441,"Agricultural, Fisheries and Forestry Scientists",244131,Agricultural Consultant
2441,"Agricultural, Fisheries and Forestry Scientists",244132,Agricultural Research Scientist
2441,"Agricultural, Fisheries and Forestry Scientists",244133,Agronomist
2441,"Agricultural, Fisheries and Forestry Scientists",244134,Aquaculture or Fisheries Scientist
2441,"Agricultural, Fisheries and Forestry Scientists",244135,Forester
2442,"Chemists, and Food and Wine Scientists",244231,Chemist
2442,"Chemists, and Food and Wine Scientists",244232,Food Technologist
2442,"Chemists, and Food and Wine Scientists",244233,Winemaker
2443,Environmental Conservation Professionals,244331,Aboriginal and Torres Strait Islander Land and Sea Ranger
2443,Environmental Conservation Professionals,244332,Conservation Officer
2443,Environmental Conservation Professionals,244333,Ecologist
2443,Environmental Conservation Professionals,244334,Park Ranger
2444,Environmental Consultants and Scientists,244431,Environmental Consultant
2444,Environmental Consultants and Scientists,244432,Environmental Research Scientist
2444,Environmental Consultants and Scientists,244499,Environmental Consultants and Scientists nec
2445,Geoscientists and Hydrologists,244531,Geologist
2445,Geoscientists and Hydrologists,244532,Geophysicist
2445,Geoscientists and Hydrologists,244533,Hydrologist
2446,Life Scientists,244631,Biotechnologist
2446,Life Scientists,244632,Botanist
2446,Life Scientists,244633,Entomologist
2446,Life Scientists,244634,Marine Biologist
2446,Life Scientists,244635,Microbiologist
2446,Life Scientists,244636,Zoologist
2446,Life Scientists,244699,Life Scientists nec
2447,Medical Science Professionals,244731,Medical Laboratory Scientist
2447,Medical Science Professionals,244732,Medical Physicist
2449,Other Natural and Physical Science Professionals,244931,Conservator
2449,Other Natural and Physical Science Professionals,244932,Meteorologist
2449,Other Natural and Physical Science Professionals,244933,Physicist
2449,Other Natural and Physical Science Professionals,244999,Natural and Physical Science Professionals nec
2511,Early Childhood (Pre-primary School) Teachers,251131,Early Childhood (Pre-primary School) Teacher
2512,Primary School Teachers,251231,Primary School Teacher
2513,Secondary School Teachers,251331,Secondary School Teacher
2514,Specialist Education Teachers,251431,Special Education Teacher
2514,Specialist Education Teachers,251432,Specialist Teacher (Vision Impairment)
2514,Specialist Education Teachers,251433,Teacher of the Deaf
2519,"Other Early Childhood, School and Specialist Education Teachers",251931,Teacher Librarian
2521,University Lecturers and Tutors,252131,University Lecturer
2521,University Lecturers and Tutors,252132,University Tutor
2522,Vocational Education Teachers,252231,Vocational Education Teacher
2591,Academic Tutors (Private Tuition),259131,Academic Tutor (Private Tuition)
2592,Arts and Personal Enrichment Teachers (Private Tuition),259231,Art Teacher (Private Tuition)
2592,Arts and Personal Enrichment Teachers (Private Tuition),259232,Dance Teacher (Private Tuition)
2592,Arts and Personal Enrichment Teachers (Private Tuition),259233,Speech and Drama Teacher (Private Tuition)
2592,Arts and Personal Enrichment Teachers (Private Tuition),259299,Arts and Personal Enrichment Teachers (Private Tuition) nec
2593,Education Advisers and Reviewers,259331,Education Adviser
2593,Education Advisers and Reviewers,259332,Education Reviewer
2594,Music Teachers (Private Tuition),259431,Music Teacher (Private Tuition)
2595,Teachers of English to Speakers of Other Languages,259531,Teacher of English to Speakers of Other Languages
2599,Other Education Professionals,259931,Adult Literacy / Numeracy Teacher
2599,Other Education Professionals,259932,Careers Adviser
2599,Other Education Professionals,259933,Student Services Adviser
2599,Other Education Professionals,259999,Education Professionals nec
2611,Counsellors and Psychotherapists,261131,Counsellor (General)
2611,Counsellors and Psychotherapists,261132,Alcohol and Other Drugs Counsellor
2611,Counsellors and Psychotherapists,261133,Family and Relationship Counsellor
2611,Counsellors and Psychotherapists,261134,Psychotherapist
2611,Counsellors and Psychotherapists,261135,Rehabilitation Counsellor
2611,Counsellors and Psychotherapists,261136,School Counsellor
2612,Psychologists,261231,Psychologist
2613,Social Workers,261331,Social Worker
2619,"Other Allied Health Counselling, Psychology, Social Work and Creative Therapy Professionals",261931,Arts Therapist
2619,"Other Allied Health Counselling, Psychology, Social Work and Creative Therapy Professionals",261932,Behaviour Support Practitioner
2619,"Other Allied Health Counselling, Psychology, Social Work and Creative Therapy Professionals",261933,Music Therapist
2619,"Other Allied Health Counselling, Psychology, Social Work and Creative Therapy Professionals",261999,"Allied Health Counselling, Psychology, Social Work and Creative Therapy Professionals nec"
2621,Chiropractors,262131,Chiropractor
2622,Exercise Physiologists and Scientists,262231,Exercise Physiologist
2622,Exercise Physiologists and Scientists,262232,Exercise and Sports Scientist
2623,Occupational Therapists,262331,Occupational Therapist
2624,Physiotherapists,262431,Physiotherapist
2625,Podiatrists,262531,Podiatrist
2626,Speech Pathologists,262631,Speech Pathologist
2629,Other Allied Health Physical and Sensory Therapy Professionals,262931,Orthotist / Prosthetist
2629,Other Allied Health Physical and Sensory Therapy Professionals,262932,Osteopath
2629,Other Allied Health Physical and Sensory Therapy Professionals,262999,Allied Health Physical and Sensory Therapy Professionals nec
2631,Medical Radiation Practitioners,263131,Nuclear Medicine Technologist
2631,Medical Radiation Practitioners,263132,Radiation Therapist
2631,Medical Radiation Practitioners,263133,Radiographer
2632,Nutrition Professionals,263231,Dietitian
2632,Nutrition Professionals,263232,Nutritionist
2633,Optometrists,263331,Optometrist
2634,Pharmacists,263431,Community Pharmacist
2634,Pharmacists,263432,Hospital Pharmacist
2635,Sonographers,263531,Sonographer
2639,Other Allied Health Science Professionals,263931,Audiologist
2639,Other Allied Health Science Professionals,263932,Cardiac Physiologist
2639,Other Allied Health Science Professionals,263933,Diabetes Educator
2639,Other Allied Health Science Professionals,263934,Neurophysiology Scientist
2639,Other Allied Health Science Professionals,263935,Orthoptist
2639,Other Allied Health Science Professionals,263936,Respiratory or Sleep Scientist
2639,Other Allied Health Science Professionals,263999,Allied Health Science Professionals nec
2641,Anaesthetists,264131,Anaesthetist
2642,General Practitioners,264231,General Practitioner
2643,Physicians,264331,General Medicine Physician
2643,Physicians,264332,Cardiologist
2643,Physicians,264333,Endocrinologist
2643,Physicians,264334,Gastroenterologist
2643,Physicians,264335,Geriatrician
2643,Physicians,264336,Haematologist
2643,Physicians,264337,Intensive Care Specialist
2643,Physicians,264338,Medical Oncologist
2643,Physicians,264341,Nephrologist
2643,Physicians,264342,Neurologist
2643,Physicians,264343,Paediatrician
2643,Physicians,264344,Public Health Physician
2643,Physicians,264345,Respiratory Physician
2643,Physicians,264346,Rheumatologist
2643,Physicians,264399,Physicians nec
2644,Psychiatrists,264431,Psychiatrist
2645,Resident Medical Officers,264531,Resident Medical Officer
2646,Surgeons,264631,General Surgeon
2646,Surgeons,264632,Cardiothoracic Surgeon
2646,Surgeons,264633,Neurosurgeon
2646,Surgeons,264634,Orthopaedic Surgeon
2646,Surgeons,264635,Otolaryngologist
2646,Surgeons,264636,Paediatric Surgeon
2646,Surgeons,264637,Plastic and Reconstructive Surgeon
2646,Surgeons,264638,Urologist
2646,Surgeons,264641,Vascular Surgeon
2649,Other Medical Practitioners,264931,Dermatologist
2649,Other Medical Practitioners,264932,Emergency Medicine Specialist
2649,Other Medical Practitioners,264933,Obstetrician and Gynaecologist
2649,Other Medical Practitioners,264934,Ophthalmologist
2649,Other Medical Practitioners,264935,Pathologist
2649,Other Medical Practitioners,264936,Radiation Oncologist
2649,Other Medical Practitioners,264937,Radiologist
2649,Other Medical Practitioners,264999,Medical Practitioners nec
2651,Midwives,265131,Midwife
2652,Nurse Educators and Researchers,265231,Nurse Educator
2652,Nurse Educators and Researchers,265232,Nurse Researcher
2653,Nursing and Midwifery Unit Managers,265331,Nursing / Midwifery Unit Manager
2654,Registered Nurses,265431,Nurse Practitioner
2654,Registered Nurses,265432,Registered Nurse (Acute Care)
2654,Registered Nurses,265433,Registered Nurse (Aged Care)
2654,Registered Nurses,265434,Registered Nurse (Mental Health)
2654,Registered Nurses,265435,Registered Nurse (Primary Health Care)
2654,Registered Nurses,265499,Registered Nurses nec
2691,"Dental Hygienists, Prosthetists and Therapists",269131,Dental Hygienist
2691,"Dental Hygienists, Prosthetists and Therapists",269132,Dental Prosthetist
2691,"Dental Hygienists, Prosthetists and Therapists",269133,Oral Health Therapist or Dental Therapist
2692,Dentists and Dental Specialists,269231,Dental Specialist
2692,Dentists and Dental Specialists,269232,Dentist
2693,Environmental Health and Health Promotion Officers,269331,Environmental Health Officer
2693,Environmental Health and Health Promotion Officers,269332,Health Promotion Officer
2694,Paramedic Professionals,269431,Critical Care Paramedic
2694,Paramedic Professionals,269432,Paramedic
2695,Veterinarians and Veterinary Technologists,269531,Veterinarian
2695,Veterinarians and Veterinary Technologists,269532,Veterinary Technologist
2699,Other Health Professionals,269931,Acupuncturist
2699,Other Health Professionals,269932,Chinese Medicine Practitioner
2699,Other Health Professionals,269933,Naturopath
2699,Other Health Professionals,269999,Health Professionals nec
2711,Cyber Security Professionals,271131,Cyber Governance Risk and Compliance Specialist
2711,Cyber Security Professionals,271132,Cyber Security Advice and Assessment Specialist
2711,Cyber Security Professionals,271133,Cyber Security Analyst
2711,Cyber Security Professionals,271134,Cyber Security Architect
2711,Cyber Security Professionals,271135,Cyber Security Engineer
2711,Cyber Security Professionals,271136,Cyber Security Operations Coordinator
2711,Cyber Security Professionals,271137,Penetration Tester
2712,Database and Systems Administrators,271231,Database Administrator
2712,Database and Systems Administrators,271232,Systems Administrator
2721,ICT Network Professionals,272131,ICT Network and Systems Engineer
2721,ICT Network Professionals,272132,Network Administrator
2721,ICT Network Professionals,272133,Network Architect
2722,ICT Quality Engineers and Test Analysts,272231,ICT Quality Assurance Engineer
2722,ICT Quality Engineers and Test Analysts,272232,ICT Support Engineer
2722,ICT Quality Engineers and Test Analysts,272233,ICT Test Analyst
2723,Telecommunications Engineers,272331,Telecommunications Engineer
2731,Digital Game and Web Developers,273131,Digital Game Developer
2731,Digital Game and Web Developers,273132,Web Developer
2732,ICT Business and Systems Analysts and Architects,273231,Cloud Architect
2732,ICT Business and Systems Analysts and Architects,273232,ICT Business Analyst
2732,ICT Business and Systems Analysts and Architects,273233,Solution Architect
2732,ICT Business and Systems Analysts and Architects,273234,Systems Analyst
2733,Software and Applications Engineers,273331,Cloud Engineer
2733,Software and Applications Engineers,273332,DevOps Engineer
2733,Software and Applications Engineers,273333,Software Engineer
2811,Barristers,281131,Barrister
2812,Judicial and Other Legal Professionals,281231,Family Dispute Resolution Practitioner
2812,Judicial and Other Legal Professionals,281232,Intellectual Property Lawyer
2812,Judicial and Other Legal Professionals,281233,Judge
2812,Judicial and Other Legal Professionals,281234,Judge's Associate
2812,Judicial and Other Legal Professionals,281235,Magistrate
2812,Judicial and Other Legal Professionals,281236,Migration Agent
2812,Judicial and Other Legal Professionals,281237,Police Prosecutor
2812,Judicial and Other Legal Professionals,281238,Tribunal Member
2812,Judicial and Other Legal Professionals,281299,Judicial and Other Legal Professionals nec
2813,Solicitors,281331,Solicitor
2991,Air Transport Professionals,299131,Aeroplane Pilot
2991,Air Transport Professionals,299132,Air Traffic Controller
2991,Air Transport Professionals,299133,Flight Instructor
2991,Air Transport Professionals,299134,Helicopter Pilot
2991,Air Transport Professionals,299199,Air Transport Professionals nec
2992,Specialist Police Officers,299231,Specialist Police Officer
3111,Agricultural Technicians and Inspection Officers,311131,Agricultural and Agritech Technician
3111,Agricultural Technicians and Inspection Officers,311132,Animal Husbandry Technician
3111,Agricultural Technicians and Inspection Officers,311133,Aquaculture or Fisheries Technician
3111,Agricultural Technicians and Inspection Officers,311134,Biosecurity Officer
3111,Agricultural Technicians and Inspection Officers,311135,Fisheries Officer
3111,Agricultural Technicians and Inspection Officers,311136,Irrigation Designer
3111,Agricultural Technicians and Inspection Officers,311137,Meat Inspector
3111,Agricultural Technicians and Inspection Officers,311138,Primary Products Quality Assurance Officer
3111,Agricultural Technicians and Inspection Officers,311199,Agricultural Technicians and Inspection Officers nec
3112,Medical and Dental Technicians,311231,Anaesthetic Technician
