Interest Code,Job Zone,Code,Occupation,Featured
RC,1-2,47-2211.00,Sheet Metal Workers,
RCA,1-2,51-6041.00,Shoe and Leather Workers and Repairers,
RC,1-2,51-6042.00,Shoe Machine Operators and Tenders,
RCS,1-2,53-3053.00,Shuttle Drivers and Chauffeurs,
RC,1-2,51-3023.00,Slaughterers and Meat Packers,
RC,1-2,47-2231.00,Solar Photovoltaic Installers,
RAC,1-2,51-9195.03,"Stone Cutters and Carvers, Manufacturing",
R,1-2,47-2022.00,Stonemasons,
RC,1-2,47-2221.00,Structural Iron and Steel Workers,
RC,1-2,51-2041.00,Structural Metal Fabricators and Fitters,
RC,1-2,53-4041.00,Subway and Streetcar Operators,
RA,1-2,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",
RC,1-2,53-7121.00,"Tank Car, Truck, and Ship Loaders",
RC,1-2,47-2082.00,Tapers,
RC,1-2,53-3054.00,Taxi Drivers,
RCE,1-2,51-2092.00,Team Assemblers,
RC,1-2,49-9052.00,Telecommunications Line Installers and Repairers,
RC,1-2,47-2053.00,Terrazzo Workers and Finishers,
RC,1-2,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,
RC,1-2,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",
RC,1-2,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",
RC,1-2,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",
RC,1-2,47-2044.00,Tile and Stone Setters,Y
RC,1-2,51-2061.00,Timing Device Assemblers and Adjusters,
RC,1-2,51-9197.00,Tire Builders,
RC,1-2,49-3093.00,Tire Repairers and Changers,
RC,1-2,51-4194.00,"Tool Grinders, Filers, and Sharpeners",
RCI,1-2,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",
RC,1-2,37-3013.00,Tree Trimmers and Pruners,
RAC,1-2,51-6093.00,Upholsterers,
RIC,1-2,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Y
RC,1-2,51-8031.00,Water and Wastewater Treatment Plant and System Operators,
RC,1-2,47-4099.03,Weatherization Installers and Technicians,
RC,1-2,51-4121.00,"Welders, Cutters, Solderers, and Brazers",
RC,1-2,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",
RC,1-2,53-7073.00,Wellhead Pumpers,
RC,1-2,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",
RCI,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,
RIC,3,19-4012.00,Agricultural Technicians,
RCI,3,49-3011.00,Aircraft Mechanics and Service Technicians,
RCA,3,17-3011.00,Architectural and Civil Drafters,
RC,3,27-4011.00,Audio and Video Technicians,
RC,3,49-2097.00,Audiovisual Equipment Installers and Repairers,
RIC,3,17-3027.01,Automotive Engineering Technicians,
RCI,3,49-3023.00,Automotive Service Technicians and Mechanics,
RCI,3,49-2091.00,Avionics Technicians,Y
RCE,3,33-3011.00,Bailiffs,
RCS,3,39-5011.00,Barbers,
RCI,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,
RCI,3,17-3028.00,Calibration Technologists and Technicians,
RC,3,49-9061.00,Camera and Photographic Equipment Repairers,
RCE,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels",
RIC,3,29-2031.00,Cardiovascular Technologists and Technicians,
RIC,3,17-3022.00,Civil Engineering Technologists and Technicians,
RIC,3,49-9092.00,Commercial Divers,
RCI,3,47-4011.00,Construction and Building Inspectors,
RC,3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",
RSA,3,35-2013.00,"Cooks, Private Household",Y
RC,3,53-7021.00,Crane and Tower Operators,
RCI,3,29-2032.00,Diagnostic Medical Sonographers,
RC,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers",
RIC,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,
RC,3,17-3012.00,Electrical and Electronics Drafters,
RCI,3,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",
RCI,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",
RCI,3,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",
RC,3,47-2111.00,Electricians,Y
RCI,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,
RCI,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",
RC,3,47-4021.00,Elevator and Escalator Installers and Repairers,
RCS,3,39-4011.00,Embalmers,
RAC,3,51-6092.00,Fabric and Apparel Patternmakers,
RCI,3,49-3041.00,Farm Equipment Mechanics and Service Technicians,Y
RCI,3,33-2021.00,Fire Inspectors and Investigators,
RCI,3,33-3031.00,Fish and Game Wardens,
RCI,3,19-4013.00,Food Science Technicians,Y
RCI,3,19-4071.00,Forest and Conservation Technicians,
RC,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists,Y
RC,3,51-9071.06,Gem and Diamond Workers,
RCE,3,11-3051.02,Geothermal Production Managers,
RCS,3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",Y
RC,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Y
RIC,3,29-2012.01,Histology Technicians,
RCI,3,51-8013.04,Hydroelectric Plant Technicians,
RCE,3,11-3051.06,Hydroelectric Production Managers,
RCI,3,19-4044.00,Hydrologic Technicians,
RCI,3,17-3026.00,Industrial Engineering Technologists and Technicians,
RCI,3,49-9041.00,Industrial Machinery Mechanics,Y
RC,3,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",
RAC,3,51-9071.00,Jewelers and Precious Stone and Metal Workers,
RC,3,27-4015.00,Lighting Technicians,
RCI,3,51-4041.00,Machinists,
RCI,3,29-2035.00,Magnetic Resonance Imaging Technologists,Y
RC,3,49-9071.00,"Maintenance and Repair Workers, General",Y
RC,3,49-9043.00,"Maintenance Workers, Machinery",
RCI,3,17-3013.00,Mechanical Drafters,
RIC,3,17-3027.00,Mechanical Engineering Technologists and Technicians,
RIC,3,29-2012.00,Medical and Clinical Laboratory Technicians,
RCI,3,49-9062.00,Medical Equipment Repairers,
RCI,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",
RC,3,51-4061.00,"Model Makers, Metal and Plastic",
RCA,3,51-7031.00,"Model Makers, Wood",
RC,3,49-3051.00,Motorboat Mechanics and Service Technicians,
RCI,3,49-3052.00,Motorcycle Mechanics,
RCA,3,49-9063.00,Musical Instrument Repairers and Tuners,
RIC,3,29-2033.00,Nuclear Medicine Technologists,
RCI,3,19-4051.02,Nuclear Monitoring Technicians,
RC,3,51-8011.00,Nuclear Power Reactor Operators,
RCI,3,19-4051.00,Nuclear Technicians,
RIS,3,29-2057.00,Ophthalmic Medical Technicians,Y
RCI,3,29-2099.05,Ophthalmic Medical Technologists,
RCA,3,51-4062.00,"Patternmakers, Metal and Plastic",
RAC,3,51-7032.00,"Patternmakers, Wood",
RCI,3,31-9097.00,Phlebotomists,Y
RA,3,27-4021.00,Photographers,
RCI,3,17-3029.08,Photonics Technicians,
RC,3,47-2152.00,"Plumbers, Pipefitters, and Steamfitters",Y
RCE,3,33-3051.00,Police and Sheriff's Patrol Officers,
RC,3,51-9195.05,"Potters, Manufacturing",Y
RC,3,51-8012.00,Power Distributors and Dispatchers,
RIC,3,19-4012.01,Precision Agriculture Technicians,
RSI,3,29-1124.00,Radiation Therapists,
RCI,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",
RCI,3,29-2034.00,Radiologic Technologists and Technicians,
RSI,3,29-1126.00,Respiratory Therapists,
RCI,3,17-3024.01,Robotics Technicians,
RCI,3,49-2098.00,Security and Fire Alarm Systems Installers,Y
RCE,3,53-5031.00,Ship Engineers,
RC,3,49-9097.00,Signal and Track Switch Repairers,
RS,3,39-5094.00,Skincare Specialists,Y
REC,3,47-1011.03,Solar Energy Installation Managers,
RC,3,47-2152.04,Solar Thermal Installers and Technicians,
RAC,3,27-4014.00,Sound Engineering Technicians,
RCI,3,51-8021.00,Stationary Engineers and Boiler Operators,
RCS,3,29-9093.00,Surgical Assistants,
RCS,3,29-2055.00,Surgical Technologists,Y
RCI,3,17-3031.00,Surveying and Mapping Technicians,Y
RC,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",
RC,3,51-4111.00,Tool and Die Makers,
RCI,3,53-6041.00,Traffic Technicians,
RC,3,33-3052.00,Transit and Railroad Police,
RIC,3,29-2056.00,Veterinary Technologists and Technicians,Y
RC,3,49-9064.00,Watch and Clock Repairers,
RCI,3,49-9081.00,Wind Turbine Service Technicians,
RI,4,17-2021.00,Agricultural Engineers,Y
RCE,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",Y
RIC,4,17-2141.02,Automotive Engineers,Y
RIC,4,17-2041.00,Chemical Engineers,Y
RIC,4,17-2051.00,Civil Engineers,Y
RIC,4,17-2061.00,Computer Hardware Engineers,Y
RIC,4,17-2071.00,Electrical Engineers,Y
RIC,4,17-2072.00,"Electronics Engineers, Except Computer",Y
RIC,4,17-2199.03,"Energy Engineers, Except Wind and Solar",
RIC,4,17-3025.00,Environmental Engineering Technologists and Technicians,
RIC,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health",
RIS,4,29-1128.00,Exercise Physiologists,Y
RIC,4,17-2111.02,Fire-Prevention and Protection Engineers,Y
RIC,4,19-1032.00,Foresters,
RIC,4,17-2141.01,Fuel Cell Engineers,Y
RIC,4,17-1022.01,Geodetic Surveyors,Y
RCI,4,19-4043.00,"Geological Technicians, Except Hydrologic Technicians",
RIA,4,17-1012.00,Landscape Architects,Y
RIC,4,17-2112.03,Manufacturing Engineers,Y
RIC,4,17-2121.00,Marine Engineers and Naval Architects,Y
RIC,4,17-2131.00,Materials Engineers,Y
RIC,4,17-2141.00,Mechanical Engineers,Y
RIC,4,17-2199.05,Mechatronics Engineers,
RIC,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",
RIC,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians,
RIC,4,17-2171.00,Petroleum Engineers,
RIC,4,17-2199.07,Photonics Engineers,
RIE,4,19-1031.02,Range Managers,Y
RIC,4,17-2199.08,Robotics Engineers,
RIC,4,17-2199.11,Solar Energy Systems Engineers,
RIC,4,17-2051.01,Transportation Engineers,Y
RIC,4,17-2051.02,Water/Wastewater Engineers,
RIC,4,17-2199.10,Wind Energy Engineers,
IRC,4,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",Y
RCA,5,17-1011.00,"Architects, Except Landscape and Naval",Y
RC,5,25-4013.00,Museum Technicians and Conservators,Y
RIS,5,29-2091.00,Orthotists and Prosthetists,Y
RIS,5,29-1024.00,Prosthodontists,Y
IR,5,19-1011.00,Animal Scientists,Y
IR,5,19-2011.00,Astronomers,Y
SRI,5,29-9091.00,Athletic Trainers,Y
IR,5,19-1021.00,Biochemists and Biophysicists,Y
SRI,5,29-1011.00,Chiropractors,Y
IRC,5,29-2011.02,Cytotechnologists,Y
IRS,5,29-1021.00,"Dentists, General",Y
IRS,5,29-1213.00,Dermatologists,Y
IRC,5,17-2112.01,Human Factors Engineers and Ergonomists,Y
SRI,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Y
IR,5,19-1042.00,"Medical Scientists, Except Epidemiologists",Y
IRC,5,17-2199.06,Microsystems Engineers,Y
SR,5,29-9099.01,Midwives,Y
IRC,5,19-2012.00,Physicists,Y
IR,5,19-1013.00,Soil and Plant Scientists,Y
IR,5,29-1131.00,Veterinarians,Y
