anzsco_code,occupation,task
1211,Aquaculture Farmers,"Transporting fish, crayfish, marron, prawns and sticks of seed oysters to new tanks, ponds, cages and floating net pens"
1211,Aquaculture Farmers,"Directing and overseeing the harvesting, grading and packaging of fish, oysters and other aquatic stock"
1211,Aquaculture Farmers,"Organising the sale, purchase and transportation of fish stock"
1211,Aquaculture Farmers,"Maintaining and evaluating records of farming activities, monitoring market activity and planning production accordingly"
1211,Aquaculture Farmers,"Managing business capital including budgeting, taxation, debt and loan management"
1211,Aquaculture Farmers,"May select, train and supervise staff and contractors"
1212,Crop Farmers,"Planning and coordinating the production and marketing of crops, such as grain, cotton, sugar cane, fruit and nuts, vegetables, turf and flowers, from soil preparation to harvest taking into account environmental and market factors"
1212,Crop Farmers,"Selecting and planting seeds, seedlings and bulbs, and grafting new varieties to root stocks"
1212,Crop Farmers,"Maintaining crop production by cultivating, de-budding and pruning, and maintaining optimal growing conditions"
1212,Crop Farmers,"Organising and conducting farming operations, such as collecting, storing, grading and packaging produce, and organising the sale, purchase and despatch of produce"
1212,Crop Farmers,Directing and overseeing general farming activities such as fertilising and pest and weed control
1212,Crop Farmers,"Maintaining farm buildings, fences, equipment and water supply systems"
1212,Crop Farmers,"Maintaining and evaluating records of farming activities, monitoring market activity, and planning crop preparation and production to meet contract requirements and market demand"
1212,Crop Farmers,"Managing business capital including budgeting, taxation, debt and loan management"
1212,Crop Farmers,"May select, train and supervise staff and contractors"
1213,Livestock Farmers,"Breeding and raising livestock for the production of honey, meat, milk, skins, eggs and wool"
1213,Livestock Farmers,Monitoring and maintaining the health and condition of livestock
1213,Livestock Farmers,Providing pastures and fodder to maintain appropriate nutritional levels
1213,Livestock Farmers,Moving livestock to optimise feeding opportunities
1213,Livestock Farmers,"Organising and conducting farming operations such as catching, drenching and milking livestock, sterilising machines, and collecting, grading and packaging produce"
1213,Livestock Farmers,"Directing and overseeing general farming activities such as maintaining pens, sheds and cages, fertilising, controlling pests and weeds, and growing fodder"
1213,Livestock Farmers,"Maintaining fences, equipment and water supply systems"
1213,Livestock Farmers,"Organising the sale, purchase and transportation of livestock and produce"
1213,Livestock Farmers,"Maintaining and evaluating records of farming activities, monitoring market activity and planning production accordingly"
1213,Livestock Farmers,"Managing business capital including budgeting, taxation, debt and loan management"
1213,Livestock Farmers,"May select, train and supervise staff and contractors"
1214,Mixed Crop and Livestock Farmers,Planning and coordinating the production and marketing of crops and livestock
1214,Mixed Crop and Livestock Farmers,"Breeding and raising livestock for the production of meat, wool, skins, milk or eggs, and growing grain, seed crops, vegetables, fruit or nuts"
1214,Mixed Crop and Livestock Farmers,Monitoring and maintaining the health and condition of livestock
1214,Mixed Crop and Livestock Farmers,Providing pastures and fodder to maintain appropriate nutritional levels
1214,Mixed Crop and Livestock Farmers,"Selecting and purchasing seed for planting, planning and implementing breeding programs"
1214,Mixed Crop and Livestock Farmers,"Directing and overseeing general farming activities such as fertilising, and pest and weed control"
1214,Mixed Crop and Livestock Farmers,"Maintaining farm buildings, fences, equipment and water supply systems"
1214,Mixed Crop and Livestock Farmers,"Organising the sale, purchase and transportation of livestock and produce"
1214,Mixed Crop and Livestock Farmers,"Maintaining and evaluating records of farming activities, monitoring market activity and planning production accordingly"
1214,Mixed Crop and Livestock Farmers,"Managing business capital, monitoring market activity and planning production accordingly"
1214,Mixed Crop and Livestock Farmers,"May select, train and supervise staff and contractors"
1311,"Advertising, Public Relations and Sales Manager","Formulating and implementing policies and plans for advertising, public relations, sales and marketing in consultation with other managers"
1311,"Advertising, Public Relations and Sales Manager","Directing the development of initiatives for new products, marketing and advertising campaigns"
1311,"Advertising, Public Relations and Sales Manager","Organising and controlling sales activities by setting product mix, geographical sales areas and customer service standards"
1311,"Advertising, Public Relations and Sales Manager","Directing merchandising methods and distribution policy by coordinating the work of salespersons, and organising agents and distributors"
1311,"Advertising, Public Relations and Sales Manager",Directing sales methods and arrangements by setting prices and credit arrangements
1321,Corporate Services Managers,"Providing high level administrative, strategic planning and operational support, research and advice to senior management on administrative matters such as staff management, financial planning, facility management and information services"
1321,Corporate Services Managers,"Developing and managing the organisation's administrative, financial, physical and staff resources"
1321,Corporate Services Managers,"Developing and implementing administrative, financial and operational procedural statements and guidelines for use by staff in the organisation"
1321,Corporate Services Managers,"Analysing complex resource management issues and initiatives that affect the organisation, and preparing associated reports, correspondence and submissions"
1321,Corporate Services Managers,Providing information and support for the preparation of financial reports and budgets
1321,Corporate Services Managers,"Leading, managing and developing administrative staff to ensure smooth business operations and the provision of accurate and timely information"
1321,Corporate Services Managers,"Representing the organisation in negotiations, and at conventions, seminars, public hearings and forums, and promoting existing and new programs and policies"
1322,Finance Managers,"Determining, implementing, monitoring, reviewing and evaluating budgetary and accounting strategies, policies and plans in consultation with other managers"
1322,Finance Managers,Providing financial information and interpreting the implications for business performance and funding needs
1322,Finance Managers,"Coordinating the development, implementation and monitoring of accounting systems"
1322,Finance Managers,"Directing the preparation of financial reports summarising and forecasting the organisation's financial position such as income statements, balance sheets and analyses of future earnings and income"
1322,Finance Managers,Assessing capital finance proposals and the financial status of operational projects
1322,Finance Managers,"Advising on investment strategies, sources of funds and the distribution of earnings"
1322,Finance Managers,"Delivering long range profit forecasts, budgeting and financial reporting"
1322,Finance Managers,Ensuring compliance with financial legislation and standards
1323,Human Resource Managers,"Determining, implementing, monitoring, reviewing and evaluating human resource management strategies, policies and plans to meet business needs"
1323,Human Resource Managers,"Advising and assisting other managers in applying sound recruitment and selection practices, and appropriate induction, training and development programs"
1323,Human Resource Managers,"Developing and implementing performance management systems to plan, appraise and improve individual and team performance"
1323,Human Resource Managers,Representing the organisation in negotiations with unions and employees to determine remuneration and other conditions of employment
1323,Human Resource Managers,"Developing and implementing occupational health and safety programs and equal employment opportunity programs, and ensuring compliance with related statutory requirements"
1323,Human Resource Managers,Overseeing the application of redundancy and other employee retrenchment policies
1323,Human Resource Managers,Monitoring employment costs and productivity levels
1323,Human Resource Managers,May train and advise other managers in personnel and workplace relations matters
1324,Policy and Planning Managers,"Developing, implementing and monitoring strategic plans, programs, policies, processes, systems and procedures to achieve goals, objectives and work standards"
1324,Policy and Planning Managers,"Developing, implementing, administering and participating in policy research and analysis"
1324,Policy and Planning Managers,Coordinating the implementation of policies and practices
1324,Policy and Planning Managers,Establishing activity measures and measurements of accountability
1324,Policy and Planning Managers,Overseeing and participating in the development of policy documents and reports
1324,Policy and Planning Managers,"Consulting with and providing expert advice to government officials and board members on policy, program and legislative issues"
1324,Policy and Planning Managers,"Representing the organisation in negotiations, and at conventions, seminars, public hearings and forums convened to discuss policy issues"
1325,Research and Development Managers,"Determining, implementing and monitoring research and development strategies, policies and plans"
1325,Research and Development Managers,"Developing and implementing research projects, priorities and targets to support commercial and policy developments"
1325,Research and Development Managers,Leading major research projects and coordinating activities of other research workers
1325,Research and Development Managers,Assessing the benefits and monitoring the costs and effectiveness of research and development activities
1325,Research and Development Managers,Interpreting results of research projects and recommending associated product and service development innovations
1325,Research and Development Managers,Providing advice on research and development options available to the organisation
1325,Research and Development Managers,Monitoring leading-edge developments in relevant disciplines and assessing implications for the organisation
1325,Research and Development Managers,May publish results of significant research projects
1331,Construction Managers,Interpreting architectural drawings and specifications
1331,Construction Managers,"Coordinating labour resources, and procurement and delivery of materials, plant and equipment"
1331,Construction Managers,"Consulting with architects, engineering professionals and other professionals, and technical and trades workers"
1331,Construction Managers,"Negotiating with building owners, property developers and subcontractors involved in the construction process to ensure projects are completed on time and within budget"
1331,Construction Managers,Preparing tenders and contract bids
1331,Construction Managers,Operating and implementing coordinated work programs for sites
1331,Construction Managers,"Ensuring adherence to building legislation and standards of performance, quality, cost and safety"
1331,Construction Managers,Arranging submission of plans to local authorities
1331,Construction Managers,"Building under contract, or subcontracting specialised building services"
1331,Construction Managers,Overseeing the standard and progress of subcontractors' work
1331,Construction Managers,Arranging building inspections by local authorities
1332,Engineering Managers,"Determining, implementing and monitoring engineering strategies, policies and plans"
1332,Engineering Managers,"Interpreting plans, drawings and specifications, and providing advice on engineering methods and procedures to achieve construction and production requirements"
1332,Engineering Managers,Establishing project schedules and budgets
1332,Engineering Managers,"Ensuring conformity with specifications and plans, and with laws, regulations and safety standards"
1332,Engineering Managers,"Ensuring engineering standards of quality, cost, safety, timeliness and performance are observed"
1332,Engineering Managers,Overseeing maintenance requirements to optimise efficiency
1332,Engineering Managers,"Liaising with marketing, research and manufacturing managers regarding engineering aspects of new construction and product design"
1332,Engineering Managers,May contribute to research and development projects
1333,"Importers, Exporters and Wholesalers",Identifying local and overseas business opportunities
1333,"Importers, Exporters and Wholesalers","Developing and implementing business plans, and marketing, operating, human resource, pricing and credit policies and procedures"
1333,"Importers, Exporters and Wholesalers",Determining the mix of products and services to be provided and negotiating conditions of trade
1333,"Importers, Exporters and Wholesalers",Liaising with local and overseas suppliers and distributors about orders and products
1333,"Importers, Exporters and Wholesalers","Researching regulatory and statutory requirements affecting the importing, exporting, wholesaling and distribution of goods"
1333,"Importers, Exporters and Wholesalers","Monitoring business performance and preparing estimates, financial statements and reports of operations"
1333,"Importers, Exporters and Wholesalers",Appointing agents and distributors
1333,"Importers, Exporters and Wholesalers",Arranging the shipping of goods into and out of the country
1333,"Importers, Exporters and Wholesalers",Overseeing the display and sale of merchandise and preparation of product information for customer service staff and customers
1333,"Importers, Exporters and Wholesalers",Implementing after-sales service procedures
1334,Manufacturers,"Identifying business opportunities, devising new manufacturing processes and determining products to be manufactured"
1334,Manufacturers,"Developing business plans and implementing operational, marketing, human resource and pricing procedures"
1334,Manufacturers,Researching and implementing regulatory and statutory requirements affecting manufacturing operations and the environment
1334,Manufacturers,"Directing the activities of production, warehouse, distribution and other operating units"
1334,Manufacturers,"Maintaining quality control systems for manufacturing, waste disposal, delivery and other procedures"
1334,Manufacturers,"Coordinating orders for raw materials, supplies and equipment, and arranging packaging, delivery and wholesaling of products"
1334,Manufacturers,Overseeing the coordination of after-sales service
1334,Manufacturers,Overseeing the provision of quotes for the manufacture of specialised goods and arranging contracts with customers
1334,Manufacturers,May devise and oversee the implementation of production run schedules
1335,Production Managers,"Determining, implementing and monitoring production strategies, policies and plans"
1335,Production Managers,"Planning details of production activities in terms of output quality and quantity, cost, time available and labour requirements"
1335,Production Managers,"Controlling the operation of production plant and quality procedures through planning of maintenance, designation of operating hours and supply of parts and tools"
1335,Production Managers,"Monitoring production output and costs, and adjusting processes and resources to minimise costs"
1335,Production Managers,Informing other managers about production matters
1335,Production Managers,Overseeing the acquisition and installation of new plant and equipment
1335,Production Managers,"Directing research into production methods, and recommending and implementing initiatives"
1335,Production Managers,Controlling the preparation of production records and reports
1335,Production Managers,Coordinating the implementation of occupational health and safety requirements
1335,Production Managers,Directing staff activities and monitoring their performance
1336,"Supply, Distribution and Procurement Managers","Determining, implementing and monitoring purchasing, storage and distribution strategies, policies and plans"
1336,"Supply, Distribution and Procurement Managers",Preparing and implementing plans to maintain required stock levels at minimum cost
1336,"Supply, Distribution and Procurement Managers","Negotiating contracts with suppliers to meet quality, cost and delivery requirements"
1336,"Supply, Distribution and Procurement Managers",Monitoring and reviewing storage and inventory systems to meet supply requirements and control stock levels
1336,"Supply, Distribution and Procurement Managers","Operating recording systems to track all movements of supplies and finished goods, and ensuring re-ordering and re-stocking at optimal times"
1336,"Supply, Distribution and Procurement Managers",Liaising with other departments and customers concerning requirements for outward goods and associated forwarding transportation
1336,"Supply, Distribution and Procurement Managers","Overseeing the recording of purchase, storage and distribution transactions"
1336,"Supply, Distribution and Procurement Managers",Directing staff activities and monitoring their performance
1341,Child Care Centre Managers,"Developing and implementing programs to enhance the physical, social, emotional and intellectual development of young children"
1341,Child Care Centre Managers,"Providing care for children in before-school, after-school, day, and vacation care centres"
1341,Child Care Centre Managers,Directing and supervising child carers in providing care and supervision for young children
1341,Child Care Centre Managers,"Ensuring the centre is a safe area for children, staff and visitors"
1341,Child Care Centre Managers,Complying with relevant government requirements and standards
1341,Child Care Centre Managers,Liaising with parents
1341,Child Care Centre Managers,Maintaining records and accounts for the centre
1341,Child Care Centre Managers,Recruiting staff and coordinating professional development
1342,Health and Welfare Services Managers,"Providing overall direction and management for the service, facility, organisation or centre"
1342,Health and Welfare Services Managers,"Developing, implementing and monitoring procedures, policies and standards for medical, nursing, allied health and administrative staff"
1342,Health and Welfare Services Managers,Coordinating and administering health and welfare programs and clinical services
1342,Health and Welfare Services Managers,"Monitoring and evaluating resources devoted to health, welfare, recreation, housing, employment, training and other community facilities and centres"
1342,Health and Welfare Services Managers,"Controlling administrative operations such as budget planning, report preparation, expenditure on supplies, equipment and services"
1342,Health and Welfare Services Managers,"Liaising with other health and welfare providers, boards and funding bodies to discuss areas of health and welfare service cooperation and coordination"
1342,Health and Welfare Services Managers,Advising government bodies about measures to improve health and welfare services and facilities
1342,Health and Welfare Services Managers,"Representing the organisation in negotiations, and at conventions, seminars, public hearings and forums"
1342,Health and Welfare Services Managers,"Controlling selection, training and supervision of staff"
1343,School Principals,Determining educational programs based on curricula set by educational authorities
1343,School Principals,Implementing systems and procedures to monitor school performance and student enrolments
1343,School Principals,Directing administrative and clerical activities concerning student admissions and educational services
1343,School Principals,Preparing school budgets and maintaining budgetary controls
1343,School Principals,"Promoting the educational program, and representing schools in the wider community"
1343,School Principals,Supervising the maintenance of school facilities
1343,School Principals,Enforcing a disciplinary code to create a safe and conducive environment for students and teachers
1343,School Principals,Organising and implementing methods of raising additional funds in conjunction with parent groups
1343,School Principals,"Controlling selection, training and supervision of staff"
1343,School Principals,May teach students
1344,Other Education Managers,"Coordinating the educational, administrative and financial affairs of an educational institution or department within the institution"
1344,Other Education Managers,"Researching, developing, implementing, reviewing and evaluating educational and administrative policy"
1344,Other Education Managers,"Liaising between educational institutions, parents and the wider community"
1344,Other Education Managers,Providing advice on policy and procedures to staff and students
1344,Other Education Managers,Consulting with academic and administrative staff to coordinate educational programs
1344,Other Education Managers,Identifying and addressing present and future needs for student and staff development
1344,Other Education Managers,Researching educational systems and monitoring and evaluating new developments
1344,Other Education Managers,Researching and reporting on students' needs arising from curriculum implementation
1344,Other Education Managers,Developing and delivering training programs for teachers
1351,ICT Managers,Analysing information needs and specifying technology to meet those needs
1351,ICT Managers,"Formulating and directing information and communication technology (ict) strategies, policies and plans"
1351,ICT Managers,Directing the selection and installation of ict resources and the provision of user training
1351,ICT Managers,"Directing ict operations and setting priorities between system developments, maintenance and operations"
1351,ICT Managers,Overseeing the security of ict systems
1391,Commissioned Officers (Management),Establishing administrative and operational procedures by taking account of the organisation's operating environment
1391,Commissioned Officers (Management),"Making policy decisions and accepting responsibility for operations, performance of staff, achievement of targets and adherence to budgets, standards and procedures"
1391,Commissioned Officers (Management),Establishing lines of control and delegating responsibilities to subordinate staff
1391,Commissioned Officers (Management),Representing the organisation in dealings with other organisations and the public
1391,Commissioned Officers (Management),Controlling the collection and interpretation of management information to monitor performance
1391,Commissioned Officers (Management),"Controlling the use of, and accounting for, the assets and facilities of the organisation"
1391,Commissioned Officers (Management),Preparing budgets and other management plans
1391,Commissioned Officers (Management),"Preparing reports, authorising the release of information, and handling public relations activities"
1392,Senior Non-Commissioned Defence Force Officers,Supervising a small group of subordinates
1392,Senior Non-Commissioned Defence Force Officers,Maintaining discipline of subordinates
1392,Senior Non-Commissioned Defence Force Officers,"Monitoring the morale, welfare and behaviour of subordinates, and advising commanding officers accordingly"
1392,Senior Non-Commissioned Defence Force Officers,"Instructing subordinates in dress, deportment, demeanour, behaviour, drill and devotion to duty to maintain military standards"
1392,Senior Non-Commissioned Defence Force Officers,Conducting military drills and inspections
1392,Senior Non-Commissioned Defence Force Officers,Teaching military traditions and customs
1399,Other Specialist Managers,"Plans, organises, directs, controls, coordinates and promotes artistic and cultural policies, programs, projects and services"
1399,Other Specialist Managers,"Plans, organises, directs, controls and coordinates the development and implementation of an environmental management system within an organisation by identifying, solving and alleviating environmental issues, such as pollution and waste treatment, in compliance with environmental legislation and to ensure corporate sustainable development."
1399,Other Specialist Managers,"Plans, organises, directs, controls and coordinates the operations of a research or production laboratory"
1399,Other Specialist Managers,"Plans, organises, directs, controls and coordinates the deployment of quality systems and certification processes within an organisation"
1399,Other Specialist Managers,"Plans, organises, directs, controls, coordinates and promotes sport and recreational activities, and develops related policies"
1411,Cafe and Restaurant Managers,Planning menus in consultation with chefs
1411,Cafe and Restaurant Managers,Planning and organising special functions
1411,Cafe and Restaurant Managers,Arranging the purchasing and pricing of goods according to budget
1411,Cafe and Restaurant Managers,Maintaining records of stock levels and financial transactions
1411,Cafe and Restaurant Managers,"Ensuring dining facilities comply with health regulations and are clean, functional and of suitable appearance"
1411,Cafe and Restaurant Managers,Conferring with customers to assess their satisfaction with meals and service
1411,Cafe and Restaurant Managers,"Selecting, training and supervising waiting and kitchen staff"
1411,Cafe and Restaurant Managers,"May take reservations, greet guests and assist in taking orders"
1412,Caravan Park and Camping Ground Managers,"Taking reservations, registering guests, assigning accommodation and collecting payments"
1412,Caravan Park and Camping Ground Managers,"Arranging cleaning and maintenance of caravans, cabins, amenities blocks, recreation facilities and grounds"
1412,Caravan Park and Camping Ground Managers,Informing guests of local tourist attractions and recreational facilities
1412,Caravan Park and Camping Ground Managers,Attending to complaints lodged by customers
1412,Caravan Park and Camping Ground Managers,"Liaising with local government to ensure compliance with laws, regulations and ordinances"
1412,Caravan Park and Camping Ground Managers,"May operate an on-site shop, cafe or restaurant for guests"
1412,Caravan Park and Camping Ground Managers,"May sign, supervise and enforce terms of tenancy agreements in accordance with legislation and may obtain enforcement orders where tenants are in breach of requirements"
1412,Caravan Park and Camping Ground Managers,May act as licensee for the purchase and sale of liquor
1413,Hotel and Motel Managers,"Directing and overseeing reservation, reception, room service and housekeeping activities"
1413,Hotel and Motel Managers,"Supervising security arrangements, and garden and property maintenance"
1413,Hotel and Motel Managers,"Planning and supervising bar, restaurant, function and conference activities"
1413,Hotel and Motel Managers,"Observing liquor, gaming, and other laws and regulations"
1413,Hotel and Motel Managers,Assessing and reviewing customer satisfaction
1413,Hotel and Motel Managers,Overseeing accounting and purchasing activities
1413,Hotel and Motel Managers,Ensuring compliance with occupational health and safety regulations
1413,Hotel and Motel Managers,"May provide guests with local tourism information, and arrange tours and transportation"
1414,Licensed Club Managers,"Planning and supervising bar, restaurant and function services"
1414,Licensed Club Managers,"Planning, booking and supervising sporting, gaming and entertainment activities"
1414,Licensed Club Managers,Supervising security arrangements and property maintenance
1414,Licensed Club Managers,Arranging member subscriptions
1414,Licensed Club Managers,"Observing liquor, gaming, health and other laws and regulations"
1414,Licensed Club Managers,Ensuring compliance with occupational health and safety regulations
1414,Licensed Club Managers,Compiling and organising distribution of newsletters and other information to keep members informed of forthcoming events and facilities available
1414,Licensed Club Managers,Assessing and reviewing member satisfaction and preferences
1414,Licensed Club Managers,Liaising with community groups sponsored and assisted by the club
1414,Licensed Club Managers,"Selecting, training and supervising staff"
1419,Other Accommodation and Hospitality Managers,"Organises and controls the operations of a bed and breakfast to provide a short term, highly personalised accommodation and leisure service for guests including breakfast ensures guests' needs, wants and comfort are satisfied during their stay. registration or licensing may be required."
1421,Retail Managers,"Determining product mix, stock levels and service standards"
1421,Retail Managers,"Formulating and implementing purchasing and marketing policies, and setting prices"
1421,Retail Managers,Promoting and advertising the establishment's goods and services
1421,Retail Managers,Selling goods and services to customers and advising them on product use
1421,Retail Managers,Maintaining records of stock levels and financial transactions
1421,Retail Managers,Undertaking budgeting for the establishment
1421,Retail Managers,"Controlling selection, training and supervision of staff"
1421,Retail Managers,Ensuring compliance with occupational health and safety regulations
1491,"Amusement, Fitness and Sports Centre Managers","Planning and organising the range and mix of entertainment, attractions, amusement machines and fitness programs to be offered by the centre"
1491,"Amusement, Fitness and Sports Centre Managers",Organising publicity to promote facilities and attract clients
1491,"Amusement, Fitness and Sports Centre Managers",Scheduling games and competitions
1491,"Amusement, Fitness and Sports Centre Managers","Selecting, training and supervising staff"
1491,"Amusement, Fitness and Sports Centre Managers",Ensuring facilities are properly maintained and conform to safety standards
1491,"Amusement, Fitness and Sports Centre Managers","May undertake coaching, fitness instruction and training of clients"
1491,"Amusement, Fitness and Sports Centre Managers",May plan and organise catering facilities
1492,"Call, Contact Centre and Customer Service Managers","Developing and reviewing policies, programs and procedures concerning customer relations and goods and services provided"
1492,"Call, Contact Centre and Customer Service Managers",Ensuring operational efficiency within a call centre
1492,"Call, Contact Centre and Customer Service Managers",Providing direction and feedback to team members and assisting with recruitment
1492,"Call, Contact Centre and Customer Service Managers","Managing, motivating and developing staff providing customer services"
1492,"Call, Contact Centre and Customer Service Managers","Planning and implementing after-sales services to follow up customer satisfaction, ensure performance of goods purchased, and modify and improve services provided"
1492,"Call, Contact Centre and Customer Service Managers","Liaising with other organisational units, service agents and customers to identify and respond to customer expectations"
1492,"Call, Contact Centre and Customer Service Managers",May work in a call centre
1493,Conference and Event Organisers,"Promoting conferences, conventions and trade shows to potential customers"
1493,Conference and Event Organisers,"Responding to inquiries concerning services provided and costs for room and equipment hire, catering and related services"
1493,Conference and Event Organisers,Meeting with clients to discuss their needs and outlining package options to meet these needs
1493,Conference and Event Organisers,"Arranging and coordinating services, such as conference facilities, catering, signage, displays, audiovisual equipment, accommodation, transport and social events, for participants"
1493,Conference and Event Organisers,Organising registration of participants
1493,Conference and Event Organisers,Negotiating the type and costs of services to be provided within budget
1493,Conference and Event Organisers,Overseeing work by contractors and reporting on variations to work orders
1494,Transport Services Managers,"Organising the purchase and maintenance of transport vehicles, equipment and fuel"
1494,Transport Services Managers,"Liaising with clients to determine requirements and providing customers with advice and information regarding vehicle type, purchase or hire rates and obligations and handling complaints"
1494,Transport Services Managers,"Receiving orders and bookings, and planning and implementing transportation schedules"
1494,Transport Services Managers,Ensuring goods are stored and transported in conditions that will maintain their quality
1494,Transport Services Managers,Arranging collection and delivery of vehicles and goods
1494,Transport Services Managers,Maintaining business records and preparing operational statements and reports
1494,Transport Services Managers,"Coordinating activities associated with the arrival, departure, loading and unloading of trains"
1494,Transport Services Managers,Ensuring compliance with occupational health and safety regulations
1499,"Other Hospitality, Retail and Service Managers",Organises and controls the operations of an establishment which offers temporary boarding for dogs and cats
1499,"Other Hospitality, Retail and Service Managers",Organises and controls the operations of a cinema or theatre registration or licensing may be required
1499,"Other Hospitality, Retail and Service Managers","Organises, controls and coordinates the strategic and operational management of facilities in a public or private organisation"
1499,"Other Hospitality, Retail and Service Managers","Organises and controls the general operational activities of a branch of a bank, building society, credit union or similar financial institution"
2111,"Actors, Dancers and Other Entertainers","Reading scripts and undertaking research to gain understanding of parts, themes and characterisations"
2111,"Actors, Dancers and Other Entertainers","Learning lines and cues, rehearsing parts, and applying vocal and movement skills to the development of characterisation"
2111,"Actors, Dancers and Other Entertainers",Preparing for performances through rehearsals under the instruction and guidance of production directors
2111,"Actors, Dancers and Other Entertainers","Acting parts and portraying roles as developed in rehearsals in film, television, radio and stage productions"
2111,"Actors, Dancers and Other Entertainers",Practising dance routines and interpreting the choreographic content of the production
2111,"Actors, Dancers and Other Entertainers","Performing dances for audience entertainment, coordinating body movements and facial expression, usually with musical accompaniment"
2111,"Actors, Dancers and Other Entertainers",Composing and notating ballet compositions and other dance routines
2111,"Actors, Dancers and Other Entertainers",Creating and performing individual performance routines
2111,"Actors, Dancers and Other Entertainers","Rehearsing, auditioning and travelling between entertainment venues"
2112,Music Professionals,"Creating melodic, harmonic and rhythmic structures to express ideas and emotions in musical form"
2112,Music Professionals,Translating ideas and concepts into standard musical signs and symbols for reproduction and performance
2112,Music Professionals,"Undertaking research and liaising with clients when composing musical backing for television commercials, popular recordings, and radio, television and film productions"
2112,Music Professionals,Auditioning and selecting musicians and singers
2112,Music Professionals,Selecting music for performances and assigning instrumental parts to musicians
2112,Music Professionals,"Directing musical groups at rehearsals and performances to achieve desired effects such as tonal and harmonic balance, rhythm and tempo"
2112,Music Professionals,Studying and rehearsing repertoire and musical scores prior to performances
2112,Music Professionals,"Playing music in recital, as an accompanist, or as a member of an orchestra, band or other musical group, from score and by memory"
2112,Music Professionals,"Performing music and songs according to interpretation, direction and style of presentation, using highly developed aural skills to reproduce music"
2113,Photographers,Consulting with clients to determine objectives of photographic assignments
2113,Photographers,"Studying requirements of assignment and selecting type of camera, film, filter and lighting"
2113,Photographers,"Working from a studio, and transporting and setting up equipment at assigned locations"
2113,Photographers,Measuring light levels and determining exposure
2113,Photographers,"Adjusting camera angles, aperture settings and subjects to achieve desired composition"
2113,Photographers,Adjusting lighting and filters to accentuate highlights and colours
2113,Photographers,"Mixing photographic chemicals, processing film and developing prints"
2113,Photographers,Manipulating images using digital imaging techniques and creative darkroom techniques such as adjusting exposure and development times
2113,Photographers,"May make enlarged prints, and mount and frame prints"
2114,Visual Arts and Crafts Professionals,"Conceiving and developing ideas, designs and styles for paintings, drawings, pottery pieces and sculptures"
2114,Visual Arts and Crafts Professionals,"Arranging objects, positioning models, and selecting landscapes and other visual forms according to chosen subject matter"
2114,Visual Arts and Crafts Professionals,"Selecting artistic media, method and materials"
2114,Visual Arts and Crafts Professionals,Applying media to surfaces using appropriate techniques
2114,Visual Arts and Crafts Professionals,"Moulding clay into functional and artistic articles by wheel-throwing, moulding and hand-building"
